frame,slot,state
455,17,occupied
455,18,available
501,0,available
501,1,available
501,2,available
501,3,available
501,4,available
501,5,available
501,6,occupied
501,7,available
501,8,available
501,9,available
501,10,occupied
501,11,occupied
501,12,occupied
501,13,occupied
501,14,available
501,15,available
501,16,available
501,17,occupied
501,18,available
542,0,available
542,1,available
542,2,available
542,3,available
542,4,available
542,5,available
542,6,occupied
542,7,available
542,8,available
542,9,available
542,10,occupied
542,11,occupied
542,12,occupied
542,13,occupied
542,14,available
542,15,available
542,16,available
542,17,occupied
542,18,available
640,0,available
640,1,available
640,2,available
640,3,available
640,4,available
640,5,available
640,6,occupied
640,7,available
640,8,available
640,9,available
640,10,occupied
640,11,occupied
640,12,occupied
640,13,occupied
640,14,available
640,15,available
640,16,available
640,17,occupied
640,18,available
663,0,available
663,1,available
663,2,available
663,3,available
663,4,available
663,5,available
663,6,occupied
663,7,available
663,8,available
663,9,available
663,10,occupied
663,11,occupied
663,12,occupied
663,13,occupied
663,14,available
663,15,available
663,16,available
663,17,occupied
663,18,available
695,0,available
695,1,available
695,2,available
695,3,available
695,4,available
695,5,available
695,6,occupied
695,7,available
695,8,available
695,9,available
695,10,occupied
695,11,occupied
695,12,occupied
695,13,occupied
695,14,available
695,15,available
695,16,available
695,17,occupied
695,18,available
782,0,available
782,1,available
782,2,available
782,3,available
782,4,available
782,5,available
782,6,occupied
782,7,available
782,8,available
782,9,available
782,10,occupied
782,11,occupied
782,12,occupied
782,13,occupied
782,14,available
782,15,available
782,16,available
782,17,occupied
782,18,available
833,0,available
833,1,available
833,2,available
833,3,available
833,4,available
833,5,available
833,6,occupied
833,7,available
833,8,available
833,9,available
833,10,occupied
833,11,occupied
833,12,occupied
833,13,occupied
833,14,available
833,15,available
833,16,available
833,17,occupied
833,18,available
859,0,available
859,1,available
859,2,available
859,3,available
859,4,available
859,5,available
859,6,occupied
859,7,available
859,8,available
859,9,available
859,10,occupied
859,11,occupied
859,12,occupied
859,13,occupied
859,14,available
859,15,available
859,16,available
859,17,occupied
859,18,available
926,0,available
926,1,available
926,2,available
926,3,available
926,4,available
926,5,available
926,6,occupied
926,7,available
926,8,available
926,9,available
926,10,occupied
926,11,occupied
926,12,occupied
926,13,occupied
926,14,available
926,15,available
926,16,available
926,17,occupied
926,18,available
957,0,available
957,1,available
957,2,available
957,3,available
957,4,available
957,5,available
957,6,occupied
957,7,available
957,8,available
957,9,available
957,10,occupied
957,11,occupied
957,12,occupied
957,13,occupied
957,14,available
957,15,available
957,16,available
957,17,occupied
957,18,available
997,0,occupied
997,1,available
997,2,available
997,3,available
997,4,available
997,5,available
997,6,occupied
997,7,available
997,8,available
997,9,available
997,10,occupied
997,11,occupied
997,12,occupied
997,13,occupied
997,14,available
997,15,available
997,16,available
997,17,occupied
997,18,available
1160,0,available
1160,1,available
1160,2,available
1160,3,available
1160,4,available
1160,5,available
1160,6,occupied
1160,7,available
1160,8,available
1160,9,available
1160,10,occupied
1160,11,occupied
1160,12,occupied
1160,13,occupied
1160,14,available
1160,15,available
1160,16,available
1160,17,occupied
1160,18,available
1300,0,available
1300,1,available
1300,2,available
1300,3,available
1300,4,available
1300,5,available
1300,6,occupied
1300,7,available
1300,8,available
1300,9,available
1300,10,occupied
1300,11,occupied
1300,12,occupied
1300,13,occupied
1300,14,occupied
1300,15,available
1300,16,available
1300,17,occupied
1300,18,available
1306,0,available
1306,1,available
1306,2,available
1306,3,available
1306,4,available
1306,5,available
1306,6,occupied
1306,7,available
1306,8,available
1306,9,available
1306,10,occupied
1306,11,occupied
1306,12,occupied
1306,13,occupied
1306,14,occupied
1306,15,available
1306,16,available
1306,17,occupied
1306,18,available
1310,0,available
1310,1,available
1310,2,available
1310,3,available
1310,4,available
1310,5,available
1310,6,occupied
1310,7,available
1310,8,available
1310,9,available
1310,10,occupied
1310,11,occupied
1310,12,occupied
1310,13,occupied
1310,14,occupied
1310,15,available
1310,16,available
1310,17,occupied
1310,18,available
1365,0,available
1365,1,available
1365,2,available
1365,3,available
1365,4,available
1365,5,available
1365,6,occupied
1365,7,available
1365,8,available
1365,9,available
1365,10,occupied
1365,11,occupied
1365,12,occupied
1365,13,occupied
1365,14,occupied
1365,15,available
1365,16,available
1365,17,occupied
1365,18,available
1389,0,available
1389,1,available
1389,2,available
1389,3,available
1389,4,available
1389,5,available
1389,6,occupied
1389,7,available
1389,8,available
1389,9,available
1389,10,occupied
1389,11,occupied
1389,12,occupied
1389,13,occupied
1389,14,occupied
1389,15,available
1389,16,available
1389,17,occupied
1389,18,available
1408,0,available
1408,1,available
1408,2,available
1408,3,available
1408,4,available
1408,5,available
1408,6,occupied
1408,7,available
1408,8,available
1408,9,available
1408,10,occupied
1408,11,occupied
1408,12,occupied
1408,13,occupied
1408,14,occupied
1408,15,available
1408,16,available
1408,17,occupied
1408,18,available
1580,0,available
1580,1,available
1580,2,available
1580,3,available
1580,4,available
1580,5,available
1580,6,occupied
1580,7,available
1580,8,available
1580,9,available
1580,10,occupied
1580,11,occupied
1580,12,occupied
1580,13,occupied
1580,14,occupied
1580,15,available
1580,16,available
1580,17,occupied
1580,18,available
1630,0,available
1630,1,available
1630,2,available
1630,3,available
1630,4,available
1630,5,available
1630,6,occupied
1630,7,available
1630,8,available
1630,9,available
1630,10,occupied
1630,11,occupied
1630,12,occupied
1630,13,occupied
1630,14,occupied
1630,15,available
1630,16,available
1630,17,occupied
1630,18,available
1654,0,available
1654,1,available
1654,2,available
1654,3,available
1654,4,available
1654,5,available
1654,6,occupied
1654,7,available
1654,8,available
1654,9,available
1654,10,occupied
1654,11,occupied
1654,12,occupied
1654,13,occupied
1654,14,occupied
1654,15,available
1654,16,available
1654,17,occupied
1654,18,available
1669,0,available
1669,1,available
1669,2,available
1669,3,available
1669,4,available
1669,5,available
1669,6,occupied
1669,7,available
1669,8,available
1669,9,available
1669,10,occupied
1669,11,occupied
1669,12,occupied
1669,13,occupied
1669,14,occupied
1669,15,available
1669,16,available
1669,17,occupied
1669,18,available
1712,0,available
1712,1,available
1712,2,available
1712,3,available
1712,4,available
1712,5,available
1712,6,occupied
1712,7,available
1712,8,available
1712,9,available
1712,10,occupied
1712,11,occupied
1712,12,occupied
1712,13,occupied
1712,14,occupied
1712,15,available
1712,16,available
1712,17,occupied
1712,18,available
1725,0,available
1725,1,available
1725,2,available
1725,3,available
1725,4,available
1725,5,available
1725,6,occupied
1725,7,available
1725,8,available
1725,9,available
1725,10,occupied
1725,11,occupied
1725,12,occupied
1725,13,occupied
1725,14,occupied
1725,15,available
1725,16,available
1725,17,occupied
1725,18,available
1769,0,available
1769,1,available
1769,2,available
1769,3,available
1769,4,available
1769,5,available
1769,6,occupied
1769,7,available
1769,8,available
1769,9,available
1769,10,occupied
1769,11,occupied
1769,12,occupied
1769,13,occupied
1769,14,occupied
1769,15,available
1769,16,available
1769,17,occupied
1769,18,available
1797,0,available
1797,1,available
1797,2,available
1797,3,available
1797,4,available
1797,5,available
1797,6,occupied
1797,7,available
1797,8,available
1797,9,available
1797,10,occupied
1797,11,occupied
1797,12,occupied
1797,13,occupied
1797,14,occupied
1797,15,available
1797,16,available
1797,17,occupied
1797,18,available
1806,0,available
1806,1,available
1806,2,available
1806,3,available
1806,4,available
1806,5,available
1806,6,occupied
1806,7,available
1806,8,available
1806,9,available
1806,10,occupied
1806,11,occupied
1806,12,occupied
1806,13,occupied
1806,14,occupied
1806,15,available
1806,16,available
1806,17,occupied
1806,18,available
1838,0,available
1838,1,available
1838,2,available
1838,3,available
1838,4,available
1838,5,available
1838,6,occupied
1838,7,available
1838,8,available
1838,9,available
1838,10,occupied
1838,11,occupied
1838,12,occupied
1838,13,occupied
1838,14,occupied
1838,15,available
1838,16,available
1838,17,occupied
1838,18,available
1910,0,available
1910,1,available
1910,2,available
1910,3,available
1910,4,available
1910,5,available
1910,6,occupied
1910,7,available
1910,8,available
1910,9,available
1910,10,occupied
1910,11,occupied
1910,12,occupied
1910,13,occupied
1910,14,occupied
1910,15,available
1910,16,available
1910,17,occupied
1910,18,available
1921,0,available
1921,1,available
1921,2,available
1921,3,available
1921,4,available
1921,5,available
1921,6,occupied
1921,7,available
1921,8,available
1921,9,available
1921,10,occupied
1921,11,occupied
1921,12,occupied
1921,13,occupied
1921,14,occupied
1921,15,available
1921,16,available
1921,17,occupied
1921,18,available
1932,0,available
1932,1,available
1932,2,available
1932,3,available
1932,4,available
1932,5,available
1932,6,occupied
1932,7,available
1932,8,available
1932,9,available
1932,10,occupied
1932,11,occupied
1932,12,occupied
1932,13,occupied
1932,14,occupied
1932,15,available
1932,16,available
1932,17,occupied
1932,18,available
1982,0,available
1982,1,available
1982,2,available
1982,3,available
1982,4,available
1982,5,available
1982,6,occupied
1982,7,available
1982,8,available
1982,9,available
1982,10,occupied
1982,11,occupied
1982,12,occupied
1982,13,occupied
1982,14,occupied
1982,15,available
1982,16,available
1982,17,occupied
1982,18,available
2063,0,available
2063,1,available
2063,2,available
2063,3,available
2063,4,available
2063,5,available
2063,6,occupied
2063,7,available
2063,8,available
2063,9,available
2063,10,occupied
2063,11,occupied
2063,12,occupied
2063,13,occupied
2063,14,occupied
2063,15,available
2063,16,available
2063,17,occupied
2063,18,available
2088,0,available
2088,1,available
2088,2,available
2088,3,available
2088,4,available
2088,5,available
2088,6,occupied
2088,7,available
2088,8,available
2088,9,available
2088,10,occupied
2088,11,occupied
2088,12,occupied
2088,13,occupied
2088,14,occupied
2088,15,available
2088,16,available
2088,17,occupied
2088,18,available
2112,0,available
2112,1,available
2112,2,available
2112,3,available
2112,4,available
2112,5,available
2112,6,occupied
2112,7,available
2112,8,available
2112,9,available
2112,10,occupied
2112,11,occupied
2112,12,occupied
2112,13,occupied
2112,14,occupied
2112,15,available
2112,16,available
2112,17,occupied
2112,18,available
2133,0,available
2133,1,available
2133,2,available
2133,3,available
2133,4,available
2133,5,available
2133,6,occupied
2133,7,available
2133,8,available
2133,9,available
2133,10,occupied
2133,11,occupied
2133,12,occupied
2133,13,occupied
2133,14,occupied
2133,15,available
2133,16,available
2133,17,occupied
2133,18,available
2169,0,available
2169,1,available
2169,2,available
2169,3,available
2169,4,available
2169,5,available
2169,6,occupied
2169,7,available
2169,8,available
2169,9,available
2169,10,occupied
2169,11,occupied
2169,12,occupied
2169,13,occupied
2169,14,occupied
2169,15,available
2169,16,available
2169,17,occupied
2169,18,available
2391,0,available
2391,1,available
2391,2,available
2391,3,available
2391,4,available
2391,5,available
2391,6,occupied
2391,7,available
2391,8,available
2391,9,available
2391,10,occupied
2391,11,occupied
2391,12,occupied
2391,13,occupied
2391,14,occupied
2391,15,available
2391,16,available
2391,17,occupied
2391,18,available
2434,0,available
2434,1,available
2434,2,available
2434,3,available
2434,4,available
2434,5,available
2434,6,occupied
2434,7,available
2434,8,available
2434,9,available
2434,10,occupied
2434,11,occupied
2434,12,occupied
2434,13,occupied
2434,14,occupied
2434,15,available
2434,16,available
2434,17,occupied
2434,18,available
2537,0,available
2537,1,overlapping
2537,2,available
2537,3,available
2537,4,available
2537,5,available
2537,6,occupied
2537,7,available
2537,8,available
2537,9,available
2537,10,occupied
2537,11,occupied
2537,12,occupied
2537,13,occupied
2537,14,occupied
2537,15,available
2537,16,available
2537,17,occupied
2537,18,available
2567,0,available
2567,1,overlapping
2567,2,available
2567,3,available
2567,4,available
2567,5,available
2567,6,occupied
2567,7,available
2567,8,available
2567,9,available
2567,10,occupied
2567,11,occupied
2567,12,occupied
2567,13,occupied
2567,14,occupied
2567,15,available
2567,16,available
2567,17,occupied
2567,18,available
2634,0,available
2634,1,occupied
2634,2,available
2634,3,available
2634,4,available
2634,5,available
2634,6,occupied
2634,7,available
2634,8,available
2634,9,available
2634,10,occupied
2634,11,occupied
2634,12,occupied
2634,13,occupied
2634,14,occupied
2634,15,available
2634,16,available
2634,17,occupied
2634,18,available
2642,0,available
2642,1,occupied
2642,2,available
2642,3,available
2642,4,available
2642,5,available
2642,6,occupied
2642,7,available
2642,8,available
2642,9,available
2642,10,occupied
2642,11,occupied
2642,12,occupied
2642,13,occupied
2642,14,occupied
2642,15,available
2642,16,available
2642,17,occupied
2642,18,available
2644,0,available
2644,1,occupied
2644,2,available
2644,3,available
2644,4,available
2644,5,available
2644,6,occupied
2644,7,available
2644,8,available
2644,9,available
2644,10,occupied
2644,11,occupied
2644,12,occupied
2644,13,occupied
2644,14,occupied
2644,15,available
2644,16,available
2644,17,occupied
2644,18,available
2666,0,available
2666,1,occupied
2666,2,available
2666,3,available
2666,4,available
2666,5,available
2666,6,occupied
2666,7,available
2666,8,available
2666,9,available
2666,10,occupied
2666,11,occupied
2666,12,occupied
2666,13,occupied
2666,14,occupied
2666,15,available
2666,16,available
2666,17,occupied
2666,18,available
2668,0,available
2668,1,occupied
2668,2,available
2668,3,available
2668,4,available
2668,5,available
2668,6,occupied
2668,7,available
2668,8,available
2668,9,available
2668,10,occupied
2668,11,occupied
2668,12,occupied
2668,13,occupied
2668,14,occupied
2668,15,available
2668,16,available
2668,17,occupied
2668,18,available
2721,0,available
2721,1,occupied
2721,2,available
2721,3,available
2721,4,available
2721,5,available
2721,6,occupied
2721,7,available
2721,8,available
2721,9,available
2721,10,occupied
2721,11,occupied
2721,12,occupied
2721,13,occupied
2721,14,occupied
2721,15,available
2721,16,available
2721,17,occupied
2721,18,available
2771,0,available
2771,1,occupied
2771,2,available
2771,3,available
2771,4,available
2771,5,available
2771,6,occupied
2771,7,available
2771,8,available
2771,9,available
2771,10,occupied
2771,11,occupied
2771,12,occupied
2771,13,occupied
2771,14,occupied
2771,15,available
2771,16,available
2771,17,occupied
2771,18,available
2877,0,available
2877,1,overlapping
2877,2,available
2877,3,available
2877,4,available
2877,5,available
2877,6,occupied
2877,7,available
2877,8,available
2877,9,available
2877,10,occupied
2877,11,occupied
2877,12,occupied
2877,13,occupied
2877,14,occupied
2877,15,available
2877,16,available
2877,17,occupied
2877,18,available
2919,0,available
2919,1,occupied
2919,2,available
2919,3,available
2919,4,available
2919,5,available
2919,6,occupied
2919,7,available
2919,8,available
2919,9,available
2919,10,occupied
2919,11,occupied
2919,12,occupied
2919,13,occupied
2919,14,occupied
2919,15,available
2919,16,available
2919,17,occupied
2919,18,available
2938,0,available
2938,1,occupied
2938,2,available
2938,3,available
2938,4,available
2938,5,available
2938,6,occupied
2938,7,available
2938,8,available
2938,9,available
2938,10,occupied
2938,11,occupied
2938,12,occupied
2938,13,occupied
2938,14,occupied
2938,15,available
2938,16,available
2938,17,occupied
2938,18,available
3012,0,available
3012,1,occupied
3012,2,available
3012,3,available
3012,4,available
3012,5,available
3012,6,occupied
3012,7,available
3012,8,available
3012,9,available
3012,10,occupied
3012,11,occupied
3012,12,occupied
3012,13,occupied
3012,14,occupied
3012,15,available
3012,16,available
3012,17,occupied
3012,18,available
3033,0,available
3033,1,occupied
3033,2,available
3033,3,available
3033,4,available
3033,5,available
3033,6,occupied
3033,7,available
3033,8,available
3033,9,available
3033,10,occupied
3033,11,occupied
3033,12,occupied
3033,13,occupied
3033,14,occupied
3033,15,available
3033,16,available
3033,17,occupied
3033,18,available
3058,0,available
3058,1,occupied
3058,2,available
3058,3,available
3058,4,available
3058,5,available
3058,6,occupied
3058,7,available
3058,8,available
3058,9,available
3058,10,occupied
3058,11,occupied
3058,12,occupied
3058,13,occupied
3058,14,occupied
3058,15,available
3058,16,available
3058,17,occupied
3058,18,available
3117,0,available
3117,1,occupied
3117,2,available
3117,3,available
3117,4,available
3117,5,available
3117,6,occupied
3117,7,available
3117,8,available
3117,9,available
3117,10,occupied
3117,11,occupied
3117,12,occupied
3117,13,occupied
3117,14,occupied
3117,15,available
3117,16,occupied
3117,17,occupied
3117,18,available
3316,0,available
3316,1,occupied
3316,2,available
3316,3,available
3316,4,available
3316,5,available
3316,6,occupied
3316,7,available
3316,8,available
3316,9,available
3316,10,occupied
3316,11,occupied
3316,12,occupied
3316,13,occupied
3316,14,occupied
3316,15,available
3316,16,occupied
3316,17,occupied
3316,18,available
3321,0,available
3321,1,occupied
3321,2,available
3321,3,available
3321,4,available
3321,5,available
3321,6,occupied
3321,7,available
3321,8,available
3321,9,available
3321,10,occupied
3321,11,occupied
3321,12,occupied
3321,13,occupied
3321,14,occupied
3321,15,available
3321,16,occupied
3321,17,occupied
3321,18,available
3325,0,available
3325,1,occupied
3325,2,available
3325,3,available
3325,4,available
3325,5,available
3325,6,occupied
3325,7,available
3325,8,available
3325,9,available
3325,10,occupied
3325,11,occupied
3325,12,occupied
3325,13,occupied
3325,14,occupied
3325,15,available
3325,16,occupied
3325,17,occupied
3325,18,available
3345,0,available
3345,1,occupied
3345,2,available
3345,3,available
3345,4,available
3345,5,available
3345,6,occupied
3345,7,available
3345,8,available
3345,9,available
3345,10,occupied
3345,11,occupied
3345,12,occupied
3345,13,occupied
3345,14,occupied
3345,15,available
3345,16,occupied
3345,17,occupied
3345,18,available
3359,0,available
3359,1,occupied
3359,2,available
3359,3,available
3359,4,available
3359,5,available
3359,6,occupied
3359,7,available
3359,8,available
3359,9,available
3359,10,occupied
3359,11,occupied
3359,12,occupied
3359,13,occupied
3359,14,occupied
3359,15,available
3359,16,occupied
3359,17,occupied
3359,18,available
3397,0,available
3397,1,occupied
3397,2,available
3397,3,available
3397,4,available
3397,5,available
3397,6,occupied
3397,7,available
3397,8,available
3397,9,available
3397,10,occupied
3397,11,occupied
3397,12,occupied
3397,13,occupied
3397,14,occupied
3397,15,available
3397,16,occupied
3397,17,occupied
3397,18,available
3412,0,available
3412,1,occupied
3412,2,available
3412,3,available
3412,4,available
3412,5,available
3412,6,occupied
3412,7,available
3412,8,available
3412,9,available
3412,10,occupied
3412,11,occupied
3412,12,occupied
3412,13,occupied
3412,14,occupied
3412,15,available
3412,16,occupied
3412,17,occupied
3412,18,available
3443,0,available
3443,1,occupied
3443,2,available
3443,3,available
3443,4,available
3443,5,available
3443,6,occupied
3443,7,available
3443,8,available
3443,9,available
3443,10,occupied
3443,11,occupied
3443,12,occupied
3443,13,occupied
3443,14,occupied
3443,15,available
3443,16,occupied
3443,17,occupied
3443,18,available
3543,0,available
3543,1,occupied
3543,2,available
3543,3,available
3543,4,available
3543,5,available
3543,6,occupied
3543,7,available
3543,8,available
3543,9,available
3543,10,occupied
3543,11,occupied
3543,12,occupied
3543,13,occupied
3543,14,occupied
3543,15,available
3543,16,occupied
3543,17,occupied
3543,18,available
3580,0,available
3580,1,occupied
3580,2,available
3580,3,available
3580,4,available
3580,5,available
3580,6,occupied
3580,7,available
3580,8,available
3580,9,available
3580,10,occupied
3580,11,occupied
3580,12,occupied
3580,13,occupied
3580,14,occupied
3580,15,available
3580,16,occupied
3580,17,occupied
3580,18,available
3582,0,available
3582,1,occupied
3582,2,available
3582,3,available
3582,4,available
3582,5,available
3582,6,occupied
3582,7,available
3582,8,available
3582,9,available
3582,10,occupied
3582,11,occupied
3582,12,occupied
3582,13,occupied
3582,14,occupied
3582,15,available
3582,16,occupied
3582,17,occupied
3582,18,available
3603,0,available
3603,1,occupied
3603,2,available
3603,3,available
3603,4,available
3603,5,available
3603,6,occupied
3603,7,available
3603,8,available
3603,9,available
3603,10,occupied
3603,11,occupied
3603,12,occupied
3603,13,occupied
3603,14,occupied
3603,15,available
3603,16,occupied
3603,17,occupied
3603,18,available
3695,0,available
3695,1,occupied
3695,2,available
3695,3,available
3695,4,available
3695,5,available
3695,6,occupied
3695,7,available
3695,8,available
3695,9,available
3695,10,occupied
3695,11,occupied
3695,12,occupied
3695,13,occupied
3695,14,occupied
3695,15,available
3695,16,occupied
3695,17,occupied
3695,18,available
3757,0,available
3757,1,occupied
3757,2,available
3757,3,available
3757,4,available
3757,5,available
3757,6,occupied
3757,7,available
3757,8,available
3757,9,available
3757,10,occupied
3757,11,occupied
3757,12,occupied
3757,13,occupied
3757,14,occupied
3757,15,available
3757,16,occupied
3757,17,occupied
3757,18,available
3776,0,available
3776,1,occupied
3776,2,available
3776,3,available
3776,4,available
3776,5,available
3776,6,occupied
3776,7,available
3776,8,available
3776,9,available
3776,10,occupied
3776,11,occupied
3776,12,occupied
3776,13,occupied
3776,14,occupied
3776,15,available
3776,16,occupied
3776,17,occupied
3776,18,available
3826,0,available
3826,1,occupied
3826,2,available
3826,3,available
3826,4,available
3826,5,available
3826,6,occupied
3826,7,available
3826,8,available
3826,9,available
3826,10,occupied
3826,11,occupied
3826,12,occupied
3826,13,occupied
3826,14,occupied
3826,15,available
3826,16,occupied
3826,17,occupied
3826,18,available
3862,0,available
3862,1,occupied
3862,2,available
3862,3,available
3862,4,available
3862,5,available
3862,6,occupied
3862,7,available
3862,8,available
3862,9,available
3862,10,occupied
3862,11,occupied
3862,12,occupied
3862,13,occupied
3862,14,occupied
3862,15,available
3862,16,occupied
3862,17,occupied
3862,18,available
3872,0,available
3872,1,occupied
3872,2,available
3872,3,available
3872,4,available
3872,5,available
3872,6,occupied
3872,7,available
3872,8,available
3872,9,available
3872,10,occupied
3872,11,occupied
3872,12,occupied
3872,13,occupied
3872,14,occupied
3872,15,available
3872,16,occupied
3872,17,occupied
3872,18,available
3888,0,available
3888,1,occupied
3888,2,available
3888,3,available
3888,4,available
3888,5,available
3888,6,occupied
3888,7,available
3888,8,available
3888,9,available
3888,10,occupied
3888,11,occupied
3888,12,occupied
3888,13,occupied
3888,14,occupied
3888,15,available
3888,16,occupied
3888,17,occupied
3888,18,available
3938,0,available
3938,1,occupied
3938,2,available
3938,3,available
3938,4,available
3938,5,available
3938,6,occupied
3938,7,available
3938,8,available
3938,9,available
3938,10,occupied
3938,11,occupied
3938,12,occupied
3938,13,occupied
3938,14,occupied
3938,15,available
3938,16,occupied
3938,17,occupied
3938,18,available
3977,0,available
3977,1,occupied
3977,2,available
3977,3,available
3977,4,available
3977,5,available
3977,6,occupied
3977,7,available
3977,8,available
3977,9,available
3977,10,occupied
3977,11,occupied
3977,12,occupied
3977,13,occupied
3977,14,occupied
3977,15,available
3977,16,occupied
3977,17,occupied
3977,18,available
4002,0,available
4002,1,occupied
4002,2,available
4002,3,available
4002,4,available
4002,5,available
4002,6,occupied
4002,7,available
4002,8,available
4002,9,available
4002,10,occupied
4002,11,occupied
4002,12,occupied
4002,13,occupied
4002,14,occupied
4002,15,available
4002,16,occupied
4002,17,occupied
4002,18,available
4024,0,available
4024,1,occupied
4024,2,available
4024,3,available
4024,4,available
4024,5,available
4024,6,occupied
4024,7,available
4024,8,available
4024,9,available
4024,10,occupied
4024,11,occupied
4024,12,occupied
4024,13,occupied
4024,14,occupied
4024,15,available
4024,16,occupied
4024,17,occupied
4024,18,available
4110,0,available
4110,1,occupied
4110,2,available
4110,3,available
4110,4,available
4110,5,available
4110,6,occupied
4110,7,available
4110,8,available
4110,9,available
4110,10,occupied
4110,11,occupied
4110,12,occupied
4110,13,occupied
4110,14,occupied
4110,15,available
4110,16,occupied
4110,17,occupied
4110,18,available
4193,0,available
4193,1,occupied
4193,2,available
4193,3,available
4193,4,available
4193,5,available
4193,6,occupied
4193,7,available
4193,8,available
4193,9,available
4193,10,occupied
4193,11,occupied
4193,12,occupied
4193,13,occupied
4193,14,occupied
4193,15,available
4193,16,occupied
4193,17,occupied
4193,18,available
4226,0,available
4226,1,occupied
4226,2,available
4226,3,available
4226,4,available
4226,5,available
4226,6,occupied
4226,7,available
4226,8,available
4226,9,available
4226,10,occupied
4226,11,occupied
4226,12,occupied
4226,13,occupied
4226,14,occupied
4226,15,available
4226,16,occupied
4226,17,occupied
4226,18,available
4239,0,available
4239,1,occupied
4239,2,available
4239,3,available
4239,4,available
4239,5,available
4239,6,occupied
4239,7,available
4239,8,available
4239,9,available
4239,10,occupied
4239,11,occupied
4239,12,occupied
4239,13,occupied
4239,14,occupied
4239,15,available
4239,16,occupied
4239,17,occupied
4239,18,available
4312,0,available
4312,1,occupied
4312,2,available
4312,3,available
4312,4,available
4312,5,available
4312,6,occupied
4312,7,available
4312,8,available
4312,9,available
4312,10,occupied
4312,11,occupied
4312,12,occupied
4312,13,occupied
4312,14,occupied
4312,15,available
4312,16,occupied
4312,17,occupied
4312,18,available
4367,0,available
4367,1,occupied
4367,2,available
4367,3,available
4367,4,available
4367,5,available
4367,6,occupied
4367,7,available
4367,8,available
4367,9,available
4367,10,occupied
4367,11,occupied
4367,12,occupied
4367,13,occupied
4367,14,occupied
4367,15,available
4367,16,occupied
4367,17,occupied
4367,18,available
4447,0,available
4447,1,occupied
4447,2,available
4447,3,available
4447,4,available
4447,5,available
4447,6,occupied
4447,7,available
4447,8,available
4447,9,available
4447,10,occupied
4447,11,occupied
4447,12,occupied
4447,13,occupied
4447,14,occupied
4447,15,available
4447,16,occupied
4447,17,occupied
4447,18,available
4483,0,available
4483,1,occupied
4483,2,available
4483,3,available
4483,4,available
4483,5,available
